created_at,tweet,author,retweeted,source,retweet_count,favorite_count,in_reply_to,coordinates
2021-12-01 00:08:36,"Bom também que esse é mais um cliente, um lugar que faz evento mesmo, que não pedia de mim tinha uns 3 anos. Todo cliente que eu tinha tá voltando pro colo do homem aqui, maravilhoso demais.",ojudeuateu,False,Twitter for Android,0,25,ojudeuateu,
2021-12-01 00:07:10,"Pior que pra essa Dezembro eu tava muito adiantando tudo que dava, na maior vibe de vai ser tranquilo, aí chegou esse pedido enorme e acho que nem vou parar de ter dia como hoje até o final do ano. É bom, mas fodeu por completo meu cronograma.",ojudeuateu,False,Twitter for Android,0,26,,
2021-11-30 22:29:54,Definitivamente li essa sigla de outra forma pela primeira vez. https://t.co/InfbjEJ99n,ojudeuateu,False,Twitter for Android,3,36,,
2021-11-30 22:28:20,"De boa aqui fazendo 800 unidades de doce num dia só, juro se qualquer restaurante que eu vendo soubesse que é literalmente só eu, minha mãe e irmã trabalhando aqui, começariam a pagar o dobro só pelo choque.",ojudeuateu,False,Twitter for Android,0,37,,
2021-11-30 22:23:00,"@df_porto Não dou nem 5 dias pra primeira matéria de ""Doméstica infectada por omicron trabalhava para casal que voltou semana passada da Hungria""",ojudeuateu,False,Twitter for Android,0,6,df_porto,
2021-11-30 20:39:52,"Quem quer ficar apontando o dedo e se indignando boa sorte, vai fazer o que? Se não dava pra fazer nenhum controle antes, vai fazer agora? Que todo mundo já entendeu que não é em prol de nenhum futuro melhor?",ojudeuateu,False,Twitter for Android,1,28,ojudeuateu,
2021-11-30 20:37:19,"Esse negócio dos caras deixarem os aeroportos desse país completamente escancarados pra riquinho passar, é tão igual ao começo da pandemia, que eu juro que não tenho nem ânimo pra indignação mais. Sério, 100% de respeito pra quem quer fingir que tá tudo normal e pandemia acabou. https://t.co/jWraNRNPL3",ojudeuateu,False,Twitter for Android,11,110,,
2021-11-30 20:27:36,@Lobo_paranoico De nada.,ojudeuateu,False,Twitter for Android,0,0,Lobo_paranoico,
2021-11-30 20:16:56,@Lobo_paranoico Tenta ficar um pouco da lado direito da casa pra compensar um pouco amiga.,ojudeuateu,False,Twitter for Android,0,0,ojudeuateu,
2021-11-30 20:15:43,"@Lobo_paranoico 35 de Calorº e 90 de Frioº, parece bem equilibrado.",ojudeuateu,False,Twitter for Android,0,7,Lobo_paranoico,
2021-12-01 10:36:41,"Izzo, há algum tempo eu venho pensando e desenvolvendo uma forte afirmação, quero que você julgue.
Naruto é o man… — Eu concordo plenamente.  https://t.co/6vHYGXdp0V",Izzombie,False,Twitter Web App,0,2,,
2021-12-01 03:26:22,"Mas as legendas do HBO Max pioram a cada episódio....

O que aconteceu aqui? https://t.co/Fq9LgyH7qc",Izzombie,False,Twitter Web App,1,26,,
2021-12-01 02:53:56,@desu_rafa isso.,Izzombie,False,Twitter Web App,0,0,desu_rafa,
2021-12-01 02:50:30,"Elas seria então, uma cópia melhor do que a original? — Eu não diria melhor. Eu acho que a diferença é mais no ambiente do que nelas. Sei lá se a Harley vivendo em Zaun se portaria muito diferente da Jinx. Idem pra Jinx vivendo em… https://t.co/P88aYp4EUk",Izzombie,False,Twitter Web App,0,0,,
2021-12-01 02:49:00,"@desu_rafa Eu prefiro os de Black Clover.

Inclusive, tem um caso fascinante da Kana e da Vanessa... que são literalmente o mesmo personagem em dois mangás diferentes e eu acho o visual da Vanessa bem mais legal. https://t.co/0D7gC69Q9C",Izzombie,False,Twitter Web App,0,2,desu_rafa,
2021-12-01 02:41:58,Qual o maior mérito de Black clover? — Fazer bem-feito tudo o que Fairy Tail fez. E ser tudo o que Fairy Tail quis ser. https://t.co/vOt0QEtEQH,Izzombie,False,Twitter Web App,0,12,,
2021-12-01 02:40:56,"izzo, vc tem kin em algum personagem? — Eu admito que mal entendo o que significa ter kin em personagem.

Giria de jovens, eu sou de outro século, gente. https://t.co/JxplGJWyTm",Izzombie,False,Twitter Web App,0,1,,
2021-12-01 02:20:34,"Se o vídeo da Samara se espalhasse com as pessoas fazendo cópia e passando pra frente até que todos do mundo tenh… — Tem que ver isso aí.

A maldição acabaria se a Samara ficasse satisfeita com o resultado final da situação. https://t.co/UR3GSnD9OC",Izzombie,False,Twitter Web App,0,0,,
2021-12-01 00:24:02,"O que da jump você tá lendo torcendo pra ser cancelado/acabar logo? — Black Clover, Sakamoto Days, High School Family e PPPPPP https://t.co/ddr7Z2sCiy",Izzombie,False,Twitter Web App,0,2,,
2021-12-01 00:13:31,@BlackPantiesFC Esse não é o Katakuri?,Izzombie,False,Twitter Web App,0,0,BlackPantiesFC,
2021-11-30 00:58:43,@snwgfofficial bom… devilman talvez não seja a melhor escolha mesmo KAKDKSMFMAMDMSDKSK,quadroembranco,False,Twitter for iPhone,0,1,snwgfofficial,
2021-11-30 00:58:15,@evolha_joga Vamos tentar manter uma frequência dahora de dica por aqui!,quadroembranco,False,Twitter for iPhone,0,1,evolha_joga,
2021-11-30 00:44:14,@snwgfofficial é só esconder bem!,quadroembranco,False,Twitter for iPhone,0,1,snwgfofficial,
2021-11-30 00:40:04,esse aqui https://t.co/BFvv1vyNIY,quadroembranco,False,Twitter for iPhone,0,3,quadroembranco,
2021-11-30 00:39:08,"Quando fiz o vídeo “A Direita tentou acabar com os mangás?”, Devilman tava esgotado e tô passando pra lembrar que o mangá completo já voltou pra estoque! Pelos nossos links, com 30% de desconto, ainda ajuda a gente 🔥

Volume 1: https://t.co/ioxZARYpEy
2: https://t.co/HpagnHLScA https://t.co/r9jqm8eZ4i",quadroembranco,False,Twitter for iPhone,2,57,,
2021-11-30 00:35:53,"@Rejerythe7th só coisa linda, coisa bacana",quadroembranco,False,Twitter for iPhone,0,1,Rejerythe7th,
2021-11-29 18:51:52,"@bxrgesavage não tá nos planos, mal parei pra ouvir!",quadroembranco,False,Twitter for iPhone,0,1,bxrgesavage,
2021-11-28 18:47:26,@joaoguiss05 @Borelio5 ❤️❤️❤️,quadroembranco,False,Twitter for iPhone,0,2,joaoguiss05,
2021-11-26 22:17:15,"@radio1042 rola um delayzinho até a gente receber a confirmação mas eu atualizei no meio do mês, pra entregar as recompensas a gente chama direto pelo e-mail cadastrado na campanha! se ainda não rolou no máximo até o fim do mês consigo atualizar dnv ❤️",quadroembranco,False,Twitter for iPhone,0,1,radio1042,
2021-11-26 18:02:41,@Kelroth ta valendo DEMAIS,quadroembranco,False,Twitter for iPhone,0,1,Kelroth,
